FSSSI,CERTHHSZ,FSSLTDED,FSERNDED,FSUSIZE,FSDIS,REALPROP,FSERNDE2,SHELDED,FSGA,FSSTDDE2,FSNETINC,TPOV,LIQRESOR,FSASSET,RAWNET,FSNONCIT,FSNELDER,FSGRINC,FSTANF,WRK_POOR,FSEARN,FSSLTDE2,TANF_IND,FSWAGES,FSUNEARN,HWGT,FSTOTDE2,FSTOTDED,RAWERND,CAT_ELIG,VEHICLEA,FSVEHAST
603.0,1.0,171.0,0.0,1.0,1.0,0.0,0.0,172.0,0.0,201.0,298.0,74.0,0.0,0.0,298.0,0.0,0.0,603.0,0.0,0.0,0.0,171.0,0.0,0.0,603.0,808.3745990311853,305.0,305.0,0.0,1.0,1.0,0.0
0.0,2.0,91.0,144.0,2.0,0.0,0.0,216.0,91.0,0.0,201.0,326.0,65.0,0.0,0.0,326.0,0.0,0.0,720.0,0.0,1.0,720.0,91.0,0.0,720.0,0.0,811.9007636838924,394.0,394.0,144.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.0,504.0,78.0,0.0,0.0,504.0,1.0,0.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,869.2314375616089,134.0,134.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,134.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,134.0,109.0,31.0,0.0,0.0,109.0,0.0,0.0,251.0,209.0,1.0,42.0,0.0,1.0,42.0,209.0,747.5177605149188,142.0,142.0,8.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,134.0,0.0,0.0,1.0,0.0
0.0,4.0,318.0,137.0,4.0,0.0,0.0,205.0,319.0,0.0,208.0,159.0,57.0,0.0,0.0,157.0,0.0,0.0,946.0,0.0,1.0,688.0,318.0,0.0,688.0,258.0,771.1370055586899,787.0,787.0,138.0,0.0,1.0,0.0
0.0,4.0,164.0,43.0,4.0,0.0,0.0,65.0,164.0,0.0,209.0,232.0,35.0,0.0,0.0,232.0,1.0,0.0,578.0,0.0,1.0,215.0,164.0,0.0,0.0,363.0,795.045049260094,346.0,346.0,43.0,0.0,1.0,0.0
0.0,3.0,208.0,295.0,3.0,0.0,0.0,442.0,209.0,0.0,201.0,839.0,107.0,0.0,0.0,838.0,0.0,0.0,1476.0,0.0,1.0,1476.0,208.0,0.0,1476.0,0.0,978.4363172306392,637.0,637.0,295.0,0.0,1.0,0.0
603.0,4.0,0.0,268.0,4.0,1.0,0.0,268.0,0.0,0.0,139.0,1340.0,117.0,555.0,555.0,1339.0,0.0,0.0,1947.0,0.0,1.0,1344.0,0.0,0.0,1344.0,603.0,1155.8391633729448,607.0,607.0,269.0,0.0,1.0,0.0
0.0,2.0,0.0,275.0,2.0,0.0,0.0,275.0,0.0,0.0,134.0,967.0,125.0,0.0,0.0,967.0,0.0,0.0,1376.0,0.0,1.0,1376.0,0.0,0.0,1376.0,0.0,1003.1651133253492,409.0,409.0,275.0,0.0,1.0,0.0
0.0,5.0,221.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,44.0,0.0,9.0,5.0,5.0,11.0,0.0,0.0,184.0,0.0,0.0,0.0,22.0,0.0,0.0,184.0,747.4949387192786,184.0,383.0,0.0,0.0,1.0,0.0
0.0,1.0,307.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,201.0,242.0,84.0,0.0,0.0,242.0,0.0,0.0,683.0,0.0,0.0,0.0,307.0,0.0,0.0,683.0,790.9869308826654,441.0,441.0,0.0,0.0,1.0,0.0
0.0,5.0,99.0,165.0,5.0,0.0,0.0,248.0,110.0,0.0,243.0,403.0,43.0,0.0,0.0,390.0,1.0,0.0,829.0,0.0,1.0,829.0,99.0,0.0,0.0,0.0,878.9891790964731,426.0,426.0,165.0,0.0,1.0,0.0
603.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.0,469.0,74.0,0.0,0.0,469.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,864.8845205265526,134.0,134.0,0.0,1.0,1.0,0.0
0.0,3.0,417.0,0.0,3.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.5805438707989,0.0,551.0,0.0,0.0,1.0,0.0
0.0,1.0,176.0,0.0,1.0,0.0,0.0,0.0,176.0,0.0,201.0,534.0,103.0,0.0,0.0,534.0,0.0,1.0,844.0,0.0,0.0,0.0,176.0,0.0,0.0,844.0,869.2314375616087,310.0,310.0,0.0,0.0,1.0,0.0
